ID_Cliente,Edad,Género,Ítem_Comprado,Categoría,Cantidad_Pagada (dólares),Ubicación,Talla,Color,Temporada,Calificación_Reseña,Suscripción,Tipo_Envío,Descuento,Compras_Anteriores,Tipo_Pago,Frecuencia_Compra
699,55,Masculino,Botas,Calzado,"$41,00",Iowa,M,Amarillo,Invierno,"3,8",Sí,Estándar,Sí,40,Tarjeta de débito,Semanalmente
700,50,Masculino,Bolso,Accesorios,"$46,00",Connecticut,M,Carbón,Otoño,"2,6",Sí,Envío en 2 días,Sí,5,PayPal,Semanalmente
701,57,Masculino,Pantalones,Ropa,"$79,00",Wisconsin,L,Aceituna,Invierno,"4,1",Sí,Estándar,Sí,5,PayPal,Mensual
702,51,Masculino,Botas,Calzado,"$90,00",Idaho,L,Rojo,Otoño,"3,3",Sí,Entrega al día siguiente,Sí,5,Tarjeta de débito,Trimestral
703,18,Masculino,Camisa,Ropa,"$71,00",Montana,M,Blanco,Invierno,"3,4",Sí,Recogida en tienda,Sí,1,Dinero,Semanalmente
704,63,Masculino,Traje,Ropa,"$87,00",Connecticut,L,Rosa,Verano,"3,0",Sí,Estándar,Sí,21,Venmo,Semanalmente
705,34,Masculino,Sudadera,Ropa,"$66,00",Idaho,S,Negro,Primavera,"3,2",Sí,Express,Sí,18,PayPal,Anualmente
706,25,Masculino,Pantalones,Ropa,"$90,00",Arkansas,XL,Índigo,Verano,"4,5",Sí,Envío gratis,Sí,49,Dinero,Trimestral
707,46,Masculino,Vaqueros,Ropa,"$47,00",Iowa,L,Turquesa,Verano,"4,8",Sí,Express,Sí,27,Tarjeta de débito,Semanalmente
708,59,Masculino,Camisa,Ropa,"$38,00",Louisiana,L,Púrpura,Primavera,"3,7",Sí,Entrega al día siguiente,Sí,21,Venmo,Anualmente
709,37,Masculino,Mochila,Accesorios,"$50,00",Kentucky,L,Beige,Verano,"3,4",Sí,Recogida en tienda,Sí,19,Dinero,Quincenal
710,49,Masculino,Chaqueta,Ropa de abrigo,"$79,00",Massachusetts,L,Carbón,Verano,"4,6",Sí,Estándar,Sí,23,Tarjeta de débito,Mensual
711,22,Masculino,Bufanda,Accesorios,"$91,00",Virginia,L,Turquesa,Primavera,"4,1",Sí,Estándar,Sí,26,PayPal,Quincenal
712,64,Masculino,Botas,Calzado,"$60,00",New Hampshire,M,Granate,Primavera,"3,5",Sí,Envío en 2 días,Sí,13,Transferencia bancaria,Quincenal
713,42,Masculino,Blusa,Ropa,"$81,00",New Hampshire,XL,Negro,Verano,"3,8",Sí,Entrega al día siguiente,Sí,36,Transferencia bancaria,Trimestral
714,37,Masculino,Sudadera,Ropa,"$90,00",Oregon,M,Lavanda,Verano,"2,6",Sí,Express,Sí,39,Transferencia bancaria,Quincenal
715,26,Masculino,Chaqueta,Ropa de abrigo,"$70,00",South Dakota,M,Magenta,Otoño,"4,4",Sí,Recogida en tienda,Sí,40,Tarjeta de débito,Quincenal
716,33,Masculino,Vaqueros,Ropa,"$63,00",Delaware,L,Verde,Primavera,"2,6",Sí,Express,Sí,37,Tarjeta de débito,Trimestral
717,30,Masculino,Joyas,Accesorios,"$29,00",Missouri,M,Aceituna,Primavera,"3,6",Sí,Express,Sí,9,Venmo,Quincenal
718,21,Masculino,Medias,Ropa,"$90,00",Alaska,L,Verde,Primavera,"4,2",Sí,Express,Sí,7,Venmo,Trimestral
719,22,Masculino,Camisa,Ropa,"$22,00",Florida,M,Durazno,Verano,"4,6",Sí,Estándar,Sí,25,Transferencia bancaria,Anualmente
720,63,Masculino,Bermudas,Ropa,"$22,00",Mississippi,L,Turquesa,Verano,"3,3",Sí,Entrega al día siguiente,Sí,42,Venmo,Quincenal
721,33,Masculino,Joyas,Accesorios,"$62,00",New Mexico,L,Naranja,Otoño,"3,4",Sí,Envío gratis,Sí,19,Tarjeta de débito,Semanalmente
722,43,Masculino,Blusa,Ropa,"$57,00",California,L,Plata,Verano,"4,4",Sí,Entrega al día siguiente,Sí,41,Tarjeta de débito,Trimestral
723,27,Masculino,Jersey,Ropa,"$32,00",Wyoming,S,Azul,Verano,"4,3",Sí,Recogida en tienda,Sí,50,Dinero,Quincenal
724,35,Masculino,Joyas,Accesorios,"$53,00",Missouri,L,Cian,Otoño,"3,5",Sí,Express,Sí,43,PayPal,Mensual
725,37,Masculino,Camiseta,Ropa,"$79,00",New Hampshire,XL,Verde,Otoño,"4,7",Sí,Recogida en tienda,Sí,36,Venmo,Trimestral
726,61,Masculino,Sombrero,Accesorios,"$61,00",Texas,L,Plata,Invierno,"3,1",Sí,Estándar,Sí,33,Tarjeta de débito,Quincenal
727,32,Masculino,Bermudas,Ropa,"$78,00",North Dakota,L,Amarillo,Verano,"3,6",Sí,Entrega al día siguiente,Sí,20,Transferencia bancaria,Trimestral
728,62,Masculino,Jersey,Ropa,"$97,00",Arkansas,S,Gris,Invierno,"4,8",Sí,Entrega al día siguiente,Sí,37,Venmo,Trimestral
729,29,Masculino,Vaqueros,Ropa,"$78,00",Nebraska,M,Rosa,Invierno,"3,7",Sí,Entrega al día siguiente,Sí,12,PayPal,Trimestral
730,41,Masculino,Gafas de sol,Accesorios,"$56,00",Minnesota,L,Beige,Verano,"3,2",Sí,Express,Sí,46,PayPal,Trimestral
731,48,Masculino,Botas,Calzado,"$25,00",Massachusetts,M,Índigo,Verano,"3,9",Sí,Estándar,Sí,28,Venmo,Quincenal
732,43,Masculino,Abrigo,Ropa de abrigo,"$28,00",Arkansas,M,Rojo,Primavera,"3,5",Sí,Envío gratis,Sí,30,PayPal,Quincenal
733,34,Masculino,Camisa,Ropa,"$57,00",New Hampshire,L,Azul,Primavera,"2,8",Sí,Express,Sí,28,Dinero,Quincenal
734,45,Masculino,Traje,Ropa,"$36,00",Rhode Island,L,Cian,Otoño,"2,7",Sí,Envío en 2 días,Sí,20,Tarjeta de débito,Quincenal
735,65,Masculino,Camisa,Ropa,"$69,00",New Jersey,S,Violeta,Invierno,"3,1",Sí,Express,Sí,39,Transferencia bancaria,Trimestral
736,61,Masculino,Gafas de sol,Accesorios,"$48,00",Montana,M,Naranja,Otoño,"3,6",Sí,Envío en 2 días,Sí,48,Dinero,Quincenal
737,18,Masculino,Traje,Ropa,"$58,00",Colorado,L,Granate,Primavera,"2,9",Sí,Envío en 2 días,Sí,32,Tarjeta de crédito,Trimestral
738,47,Masculino,Gafas de sol,Accesorios,"$24,00",Nebraska,M,Verde azulado,Primavera,"3,6",Sí,Recogida en tienda,Sí,28,PayPal,Anualmente
739,56,Masculino,Gafas de sol,Accesorios,"$31,00",Minnesota,L,Naranja,Invierno,"3,5",Sí,Envío en 2 días,Sí,27,Venmo,Trimestral
740,64,Masculino,Bermudas,Ropa,"$29,00",Minnesota,S,Púrpura,Verano,"3,5",Sí,Envío gratis,Sí,26,Venmo,Quincenal
741,26,Masculino,Vaqueros,Ropa,"$69,00",South Dakota,M,Naranja,Verano,"2,8",Sí,Entrega al día siguiente,Sí,22,Tarjeta de crédito,Quincenal
742,22,Masculino,Camiseta,Ropa,"$79,00",West Virginia,XL,Amarillo,Verano,"4,7",Sí,Envío gratis,Sí,23,Transferencia bancaria,Trimestral
743,64,Masculino,Pantalones,Ropa,"$39,00",Nevada,M,Carbón,Verano,"3,1",Sí,Express,Sí,21,Tarjeta de débito,Trimestral
744,21,Masculino,Gafas de sol,Accesorios,"$84,00",North Carolina,L,Gris,Otoño,"4,9",Sí,Envío gratis,Sí,36,Dinero,Semanalmente
745,67,Masculino,Botas,Calzado,"$66,00",Illinois,S,Carbón,Primavera,"4,1",Sí,Entrega al día siguiente,Sí,42,Tarjeta de débito,Quincenal
746,46,Masculino,Camiseta,Ropa,"$92,00",Michigan,L,Naranja,Otoño,"4,7",Sí,Estándar,Sí,4,Venmo,Mensual
747,40,Masculino,Sandalias,Calzado,"$45,00",Michigan,M,Rojo,Invierno,"2,5",Sí,Envío gratis,Sí,47,Tarjeta de crédito,Anualmente
748,51,Masculino,Bermudas,Ropa,"$74,00",Oklahoma,L,Oro,Primavera,"4,4",Sí,Entrega al día siguiente,Sí,13,Transferencia bancaria,Semanalmente
749,35,Masculino,Sombrero,Accesorios,"$39,00",South Dakota,L,Marrón,Otoño,"3,9",Sí,Envío gratis,Sí,8,Transferencia bancaria,Trimestral
750,56,Masculino,Bufanda,Accesorios,"$71,00",Oklahoma,M,Aceituna,Invierno,"3,7",Sí,Estándar,Sí,11,Tarjeta de débito,Trimestral
751,25,Masculino,Camiseta,Ropa,"$95,00",Maryland,L,Violeta,Otoño,"3,4",Sí,Envío gratis,Sí,5,Venmo,Anualmente
752,65,Masculino,Guantes,Accesorios,"$72,00",Ohio,L,Índigo,Otoño,"4,8",Sí,Envío gratis,Sí,1,Tarjeta de crédito,Mensual
753,39,Masculino,Bufanda,Accesorios,"$85,00",Ohio,L,Amarillo,Otoño,"4,2",Sí,Envío en 2 días,Sí,17,PayPal,Trimestral
754,47,Masculino,Botas,Calzado,"$54,00",Massachusetts,M,Verde azulado,Otoño,"3,4",Sí,Recogida en tienda,Sí,27,Venmo,Trimestral
755,36,Masculino,Guantes,Accesorios,"$41,00",North Carolina,L,Rosa,Primavera,"2,9",Sí,Recogida en tienda,Sí,3,Tarjeta de débito,Trimestral
756,66,Masculino,Abrigo,Ropa de abrigo,"$24,00",Florida,M,Violeta,Primavera,"3,3",Sí,Envío gratis,Sí,22,PayPal,Semanalmente
757,62,Masculino,Cinturón,Accesorios,"$99,00",Montana,S,Naranja,Verano,"4,8",Sí,Estándar,Sí,24,Dinero,Quincenal
758,41,Masculino,Sudadera,Ropa,"$32,00",Minnesota,M,Rojo,Otoño,"3,8",Sí,Recogida en tienda,Sí,18,Tarjeta de débito,Trimestral
759,66,Masculino,Zapatos,Calzado,"$71,00",Massachusetts,L,Durazno,Verano,"4,6",Sí,Envío en 2 días,Sí,39,Transferencia bancaria,Trimestral
760,51,Masculino,Traje,Ropa,"$49,00",Rhode Island,XL,Verde,Invierno,"2,6",Sí,Entrega al día siguiente,Sí,25,Tarjeta de crédito,Quincenal
761,33,Masculino,Guantes,Accesorios,"$50,00",Minnesota,XL,Violeta,Otoño,"3,4",Sí,Envío gratis,Sí,6,Dinero,Anualmente
762,57,Masculino,Joyas,Accesorios,"$91,00",Nevada,L,Amarillo,Otoño,"4,2",Sí,Express,Sí,26,Transferencia bancaria,Semanalmente
763,45,Masculino,Cinturón,Accesorios,"$46,00",New Mexico,M,Rosa,Otoño,"3,9",Sí,Estándar,Sí,43,Tarjeta de débito,Quincenal
764,61,Masculino,Jersey,Ropa,"$50,00",North Carolina,M,Marrón,Primavera,"2,9",Sí,Envío en 2 días,Sí,6,Tarjeta de crédito,Mensual
765,55,Masculino,Falda,Ropa,"$39,00",Virginia,XL,Plata,Otoño,"4,2",Sí,Envío gratis,Sí,6,Tarjeta de débito,Trimestral
766,54,Masculino,Zapatillas,Calzado,"$99,00",Alaska,M,Rosa,Verano,"3,0",Sí,Recogida en tienda,Sí,13,Dinero,Trimestral
767,57,Masculino,Guantes,Accesorios,"$48,00",Nevada,M,Cian,Invierno,"3,6",Sí,Entrega al día siguiente,Sí,13,PayPal,Mensual
768,27,Masculino,Abrigo,Ropa de abrigo,"$77,00",Pennsylvania,M,Marrón,Otoño,"2,5",Sí,Entrega al día siguiente,Sí,11,Dinero,Anualmente
769,64,Masculino,Mochila,Accesorios,"$95,00",Illinois,XL,Rojo,Primavera,"2,6",Sí,Express,Sí,45,Venmo,Semanalmente
770,52,Masculino,Medias,Ropa,"$100,00",Delaware,M,Plata,Primavera,"4,3",Sí,Recogida en tienda,Sí,8,PayPal,Mensual
771,19,Masculino,Zapatillas,Calzado,"$54,00",Vermont,M,Gris,Primavera,"3,3",Sí,Express,Sí,8,Tarjeta de crédito,Anualmente
772,22,Masculino,Jersey,Ropa,"$68,00",Hawaii,L,Cian,Otoño,"2,6",Sí,Entrega al día siguiente,Sí,34,Transferencia bancaria,Quincenal
773,18,Masculino,Vaqueros,Ropa,"$22,00",Illinois,L,Verde azulado,Otoño,"3,6",Sí,Envío gratis,Sí,40,Tarjeta de débito,Quincenal
774,29,Masculino,Sombrero,Accesorios,"$84,00",California,L,Índigo,Invierno,"2,6",Sí,Express,Sí,14,Tarjeta de débito,Quincenal
775,42,Masculino,Sombrero,Accesorios,"$46,00",Nevada,M,Amarillo,Verano,"3,5",Sí,Estándar,Sí,11,Tarjeta de crédito,Trimestral
776,49,Masculino,Bolso,Accesorios,"$53,00",Kentucky,S,Oro,Invierno,"3,0",Sí,Recogida en tienda,Sí,8,PayPal,Mensual
777,49,Masculino,Camisa,Ropa,"$60,00",Alabama,M,Granate,Primavera,"5,0",Sí,Estándar,Sí,8,Venmo,Trimestral
778,55,Masculino,Medias,Ropa,"$32,00",Wyoming,XL,Plata,Primavera,"2,5",Sí,Express,Sí,37,Venmo,Semanalmente
779,29,Masculino,Medias,Ropa,"$50,00",Massachusetts,M,Amarillo,Verano,"2,9",Sí,Recogida en tienda,Sí,23,Tarjeta de débito,Anualmente
780,60,Masculino,Traje,Ropa,"$94,00",Utah,M,Azul,Primavera,"4,6",Sí,Express,Sí,38,Dinero,Anualmente
781,34,Masculino,Zapatos,Calzado,"$26,00",New York,M,Turquesa,Primavera,"3,6",Sí,Envío gratis,Sí,38,Dinero,Trimestral
782,30,Masculino,Bufanda,Accesorios,"$44,00",Vermont,L,Índigo,Invierno,"3,0",Sí,Recogida en tienda,Sí,12,Tarjeta de crédito,Quincenal
783,28,Masculino,Sudadera,Ropa,"$57,00",Hawaii,M,Verde,Verano,"4,5",Sí,Estándar,Sí,15,Dinero,Semanalmente
784,63,Masculino,Camiseta,Ropa,"$65,00",Louisiana,L,Púrpura,Invierno,"4,5",Sí,Entrega al día siguiente,Sí,38,PayPal,Quincenal
785,31,Masculino,Vaqueros,Ropa,"$72,00",Alabama,M,Durazno,Invierno,"3,2",Sí,Recogida en tienda,Sí,41,Transferencia bancaria,Trimestral
786,46,Masculino,Bermudas,Ropa,"$62,00",Louisiana,S,Púrpura,Primavera,"4,0",Sí,Entrega al día siguiente,Sí,37,PayPal,Quincenal
787,70,Masculino,Sombrero,Accesorios,"$21,00",Indiana,S,Verde azulado,Invierno,"4,8",Sí,Express,Sí,16,Transferencia bancaria,Trimestral
788,53,Masculino,Bolso,Accesorios,"$85,00",Michigan,S,Verde,Primavera,"3,7",Sí,Envío gratis,Sí,25,Venmo,Semanalmente
789,50,Masculino,Pantalones,Ropa,"$51,00",Rhode Island,XL,Amarillo,Verano,"3,8",Sí,Recogida en tienda,Sí,18,Transferencia bancaria,Trimestral
790,33,Masculino,Bolso,Accesorios,"$84,00",Idaho,S,Púrpura,Otoño,"2,7",Sí,Estándar,Sí,4,Tarjeta de crédito,Quincenal
791,22,Masculino,Jersey,Ropa,"$37,00",Louisiana,M,Índigo,Verano,"4,9",Sí,Recogida en tienda,Sí,12,Transferencia bancaria,Trimestral
792,50,Masculino,Bufanda,Accesorios,"$44,00",North Carolina,S,Magenta,Verano,"3,1",Sí,Envío en 2 días,Sí,35,PayPal,Quincenal
793,34,Masculino,Zapatillas,Calzado,"$45,00",New Jersey,M,Violeta,Primavera,"4,2",Sí,Entrega al día siguiente,Sí,45,Venmo,Semanalmente
794,24,Masculino,Pantalones,Ropa,"$35,00",Alabama,L,Granate,Verano,"3,8",Sí,Envío gratis,Sí,16,Tarjeta de crédito,Mensual
795,69,Masculino,Mochila,Accesorios,"$50,00",Kentucky,XL,Amarillo,Invierno,"4,2",Sí,Recogida en tienda,Sí,10,Tarjeta de débito,Quincenal
796,39,Masculino,Sandalias,Calzado,"$26,00",New York,M,Beige,Verano,"4,6",Sí,Recogida en tienda,Sí,34,Venmo,Anualmente
797,42,Masculino,Medias,Ropa,"$78,00",Arizona,XL,Negro,Otoño,"4,0",Sí,Envío en 2 días,Sí,43,Tarjeta de crédito,Anualmente
798,42,Masculino,Abrigo,Ropa de abrigo,"$82,00",Maryland,M,Violeta,Otoño,"4,0",Sí,Envío en 2 días,Sí,38,Tarjeta de débito,Semanalmente
799,29,Masculino,Medias,Ropa,"$39,00",Alaska,M,Violeta,Primavera,"3,8",Sí,Envío en 2 días,Sí,48,PayPal,Trimestral
800,55,Masculino,Cinturón,Accesorios,"$55,00",Nevada,L,Marrón,Verano,"3,3",Sí,Envío gratis,Sí,31,PayPal,Anualmente
801,32,Masculino,Medias,Ropa,"$20,00",Utah,S,Oro,Verano,"2,6",Sí,Envío gratis,Sí,20,Dinero,Trimestral
802,25,Masculino,Cinturón,Accesorios,"$29,00",New Mexico,L,Azul,Otoño,"4,9",Sí,Express,Sí,12,Tarjeta de crédito,Quincenal
803,38,Masculino,Pantalones,Ropa,"$41,00",Delaware,M,Verde azulado,Invierno,"3,5",Sí,Entrega al día siguiente,Sí,2,Transferencia bancaria,Semanalmente
804,32,Masculino,Bermudas,Ropa,"$38,00",Connecticut,L,Plata,Invierno,"2,8",Sí,Express,Sí,30,Venmo,Trimestral
805,43,Masculino,Botas,Calzado,"$47,00",Mississippi,M,Granate,Verano,"2,6",Sí,Recogida en tienda,Sí,28,Venmo,Trimestral
806,41,Masculino,Traje,Ropa,"$30,00",Connecticut,L,Blanco,Verano,"3,7",Sí,Entrega al día siguiente,Sí,40,Tarjeta de débito,Mensual
807,56,Masculino,Vaqueros,Ropa,"$56,00",Florida,L,Carbón,Verano,"2,7",Sí,Estándar,Sí,46,PayPal,Trimestral
808,27,Masculino,Camiseta,Ropa,"$89,00",New York,S,Marrón,Invierno,"3,3",Sí,Express,Sí,15,Tarjeta de crédito,Semanalmente
809,46,Masculino,Zapatos,Calzado,"$96,00",Wisconsin,L,Lavanda,Otoño,"4,6",Sí,Entrega al día siguiente,Sí,38,Dinero,Trimestral
810,48,Masculino,Botas,Calzado,"$81,00",South Carolina,M,Violeta,Otoño,"4,9",Sí,Entrega al día siguiente,Sí,30,PayPal,Quincenal
811,52,Masculino,Bufanda,Accesorios,"$83,00",South Dakota,S,Lavanda,Otoño,"4,9",Sí,Recogida en tienda,Sí,32,Tarjeta de débito,Quincenal
812,18,Masculino,Zapatillas,Calzado,"$35,00",Illinois,M,Verde,Invierno,"2,7",Sí,Envío gratis,Sí,36,Venmo,Trimestral
813,64,Masculino,Botas,Calzado,"$56,00",Alaska,M,Aceituna,Verano,"3,2",Sí,Estándar,Sí,32,Tarjeta de crédito,Semanalmente
814,54,Masculino,Bolso,Accesorios,"$45,00",Montana,S,Aceituna,Verano,"2,9",Sí,Recogida en tienda,Sí,14,Tarjeta de débito,Anualmente
815,31,Masculino,Camisa,Ropa,"$62,00",Minnesota,M,Rosa,Invierno,"3,8",Sí,Express,Sí,8,PayPal,Mensual
816,30,Masculino,Sombrero,Accesorios,"$84,00",West Virginia,L,Verde azulado,Primavera,"3,0",Sí,Entrega al día siguiente,Sí,27,Venmo,Quincenal
817,26,Masculino,Jersey,Ropa,"$24,00",Illinois,L,Cian,Verano,"3,9",Sí,Recogida en tienda,Sí,24,Tarjeta de débito,Mensual
818,25,Masculino,Bolso,Accesorios,"$21,00",Nevada,S,Gris,Primavera,"4,7",Sí,Recogida en tienda,Sí,30,PayPal,Quincenal
819,59,Masculino,Camisa,Ropa,"$91,00",Idaho,M,Durazno,Invierno,"4,9",Sí,Recogida en tienda,Sí,34,Tarjeta de débito,Mensual
820,55,Masculino,Gafas de sol,Accesorios,"$36,00",Colorado,S,Verde azulado,Invierno,"4,8",Sí,Entrega al día siguiente,Sí,28,Tarjeta de débito,Trimestral
821,56,Masculino,Zapatillas,Calzado,"$39,00",Louisiana,M,Turquesa,Primavera,"2,5",Sí,Envío en 2 días,Sí,27,Tarjeta de débito,Mensual
822,62,Masculino,Sudadera,Ropa,"$39,00",Vermont,M,Verde,Primavera,"3,9",Sí,Estándar,Sí,31,Tarjeta de crédito,Quincenal
823,35,Masculino,Camisa,Ropa,"$59,00",Mississippi,L,Magenta,Invierno,"3,4",Sí,Estándar,Sí,23,Transferencia bancaria,Anualmente
824,51,Masculino,Gafas de sol,Accesorios,"$27,00",Georgia,M,Verde,Invierno,"2,5",Sí,Envío gratis,Sí,11,Tarjeta de crédito,Trimestral
825,61,Masculino,Blusa,Ropa,"$94,00",Georgia,M,Blanco,Primavera,"3,0",Sí,Recogida en tienda,Sí,48,Dinero,Trimestral
826,27,Masculino,Cinturón,Accesorios,"$94,00",Nebraska,XL,Marrón,Otoño,"3,6",Sí,Entrega al día siguiente,Sí,17,Dinero,Mensual
827,54,Masculino,Traje,Ropa,"$94,00",Massachusetts,M,Púrpura,Invierno,"3,6",Sí,Estándar,Sí,36,PayPal,Semanalmente
828,31,Masculino,Zapatos,Calzado,"$51,00",Colorado,S,Verde,Otoño,"4,1",Sí,Envío gratis,Sí,33,Transferencia bancaria,Quincenal
829,24,Masculino,Medias,Ropa,"$62,00",Nevada,M,Durazno,Otoño,"3,7",Sí,Envío en 2 días,Sí,27,PayPal,Quincenal
830,42,Masculino,Medias,Ropa,"$57,00",Idaho,S,Plata,Primavera,"3,1",Sí,Envío en 2 días,Sí,14,Tarjeta de crédito,Quincenal
831,41,Masculino,Bermudas,Ropa,"$76,00",Wyoming,M,Granate,Otoño,"4,2",Sí,Express,Sí,5,Tarjeta de crédito,Anualmente
832,66,Masculino,Guantes,Accesorios,"$63,00",Washington,M,Rojo,Verano,"4,3",Sí,Express,Sí,47,Dinero,Trimestral
833,58,Masculino,Chaqueta,Ropa de abrigo,"$80,00",California,L,Azul,Otoño,"2,5",Sí,Express,Sí,28,Dinero,Quincenal
834,43,Masculino,Bolso,Accesorios,"$68,00",Oklahoma,M,Púrpura,Otoño,"3,5",Sí,Estándar,Sí,11,Tarjeta de crédito,Anualmente
835,52,Masculino,Mochila,Accesorios,"$89,00",Nevada,M,Índigo,Verano,"3,1",Sí,Envío gratis,Sí,18,Tarjeta de crédito,Semanalmente
836,35,Masculino,Botas,Calzado,"$26,00",Maryland,L,Índigo,Verano,"2,5",Sí,Entrega al día siguiente,Sí,21,Tarjeta de débito,Semanalmente
837,23,Masculino,Guantes,Accesorios,"$90,00",West Virginia,L,Violeta,Invierno,"3,9",Sí,Recogida en tienda,Sí,22,Dinero,Quincenal
838,25,Masculino,Sudadera,Ropa,"$28,00",Illinois,L,Marrón,Primavera,"4,9",Sí,Express,Sí,33,Dinero,Trimestral
839,33,Masculino,Abrigo,Ropa de abrigo,"$29,00",Kentucky,M,Gris,Primavera,"4,3",Sí,Express,Sí,49,Tarjeta de crédito,Anualmente
840,48,Masculino,Camisa,Ropa,"$31,00",Illinois,L,Verde azulado,Primavera,"2,6",Sí,Envío gratis,Sí,10,Tarjeta de débito,Trimestral
841,42,Masculino,Camisa,Ropa,"$24,00",Alabama,L,Verde azulado,Verano,"4,2",Sí,Envío en 2 días,Sí,18,PayPal,Semanalmente
842,55,Masculino,Jersey,Ropa,"$88,00",Texas,M,Beige,Verano,"2,6",Sí,Recogida en tienda,Sí,28,PayPal,Quincenal
843,59,Masculino,Camisa,Ropa,"$87,00",Missouri,M,Violeta,Primavera,"3,6",Sí,Express,Sí,25,PayPal,Semanalmente
844,65,Masculino,Sudadera,Ropa,"$80,00",Pennsylvania,S,Beige,Verano,"3,2",Sí,Express,Sí,6,PayPal,Semanalmente
845,59,Masculino,Sandalias,Calzado,"$48,00",Missouri,L,Púrpura,Invierno,"4,4",Sí,Express,Sí,44,Venmo,Quincenal
846,31,Masculino,Cinturón,Accesorios,"$21,00",Michigan,XL,Carbón,Invierno,"3,7",Sí,Estándar,Sí,30,Venmo,Mensual
847,49,Masculino,Botas,Calzado,"$72,00",Kentucky,M,Rosa,Primavera,"3,7",Sí,Express,Sí,42,Tarjeta de débito,Trimestral
848,53,Masculino,Sudadera,Ropa,"$44,00",New Jersey,L,Azul,Otoño,"4,1",Sí,Estándar,Sí,30,PayPal,Mensual
849,48,Masculino,Sandalias,Calzado,"$73,00",Delaware,M,Lavanda,Otoño,"3,6",Sí,Recogida en tienda,Sí,33,Tarjeta de crédito,Quincenal
850,23,Masculino,Vaqueros,Ropa,"$61,00",Missouri,S,Carbón,Primavera,"4,3",Sí,Express,Sí,24,PayPal,Trimestral
851,68,Masculino,Zapatos,Calzado,"$20,00",Connecticut,L,Turquesa,Invierno,"2,6",Sí,Recogida en tienda,Sí,13,Venmo,Mensual
852,35,Masculino,Sandalias,Calzado,"$86,00",Massachusetts,M,Rojo,Verano,"2,9",Sí,Express,Sí,19,Tarjeta de débito,Mensual
853,34,Masculino,Traje,Ropa,"$60,00",Florida,L,Amarillo,Primavera,"4,2",Sí,Entrega al día siguiente,Sí,23,Tarjeta de débito,Trimestral
854,62,Masculino,Sombrero,Accesorios,"$43,00",Delaware,L,Naranja,Invierno,"4,0",Sí,Envío gratis,Sí,35,Dinero,Mensual
855,21,Masculino,Pantalones,Ropa,"$44,00",California,L,Azul,Primavera,"4,3",Sí,Envío gratis,Sí,22,Venmo,Mensual
856,70,Masculino,Medias,Ropa,"$76,00",Oregon,L,Oro,Primavera,"3,0",Sí,Envío en 2 días,Sí,14,Tarjeta de crédito,Trimestral
857,55,Masculino,Camisa,Ropa,"$33,00",Alaska,M,Oro,Verano,"3,5",Sí,Express,Sí,47,Tarjeta de débito,Quincenal
858,43,Masculino,Bermudas,Ropa,"$60,00",Missouri,L,Cian,Otoño,"3,0",Sí,Estándar,Sí,50,Tarjeta de débito,Trimestral
859,19,Masculino,Chaqueta,Ropa de abrigo,"$26,00",Oklahoma,L,Aceituna,Otoño,"3,1",Sí,Envío gratis,Sí,33,PayPal,Semanalmente
860,47,Masculino,Sudadera,Ropa,"$73,00",Wisconsin,M,Verde azulado,Invierno,"4,0",Sí,Entrega al día siguiente,Sí,7,Tarjeta de débito,Mensual
861,26,Masculino,Zapatos,Calzado,"$87,00",South Carolina,M,Granate,Primavera,"4,1",Sí,Estándar,Sí,3,Dinero,Mensual
862,46,Masculino,Falda,Ropa,"$100,00",Virginia,XL,Verde,Primavera,"3,3",Sí,Envío en 2 días,Sí,35,Tarjeta de crédito,Trimestral
863,19,Masculino,Abrigo,Ropa de abrigo,"$84,00",Arkansas,M,Carbón,Invierno,"4,9",Sí,Estándar,Sí,13,PayPal,Quincenal
864,49,Masculino,Zapatillas,Calzado,"$41,00",Vermont,M,Cian,Verano,"3,9",Sí,Estándar,Sí,42,PayPal,Quincenal
865,51,Masculino,Vaqueros,Ropa,"$59,00",Kentucky,S,Carbón,Invierno,"3,9",Sí,Entrega al día siguiente,Sí,5,PayPal,Anualmente
866,64,Masculino,Blusa,Ropa,"$26,00",Colorado,L,Carbón,Invierno,"4,8",Sí,Recogida en tienda,Sí,23,Venmo,Anualmente
867,67,Masculino,Gafas de sol,Accesorios,"$69,00",New Mexico,M,Lavanda,Verano,"2,7",Sí,Envío gratis,Sí,11,PayPal,Quincenal
868,37,Masculino,Chaqueta,Ropa de abrigo,"$20,00",Colorado,M,Turquesa,Primavera,"3,1",Sí,Envío gratis,Sí,23,Transferencia bancaria,Quincenal
869,40,Masculino,Traje,Ropa,"$83,00",North Carolina,M,Verde,Verano,"3,2",Sí,Entrega al día siguiente,Sí,2,Tarjeta de crédito,Trimestral
870,38,Masculino,Sombrero,Accesorios,"$54,00",New Hampshire,M,Plata,Primavera,"2,7",Sí,Envío en 2 días,Sí,33,PayPal,Semanalmente
871,66,Masculino,Sudadera,Ropa,"$66,00",West Virginia,M,Azul,Otoño,"2,5",Sí,Estándar,Sí,6,Transferencia bancaria,Quincenal
872,47,Masculino,Bolso,Accesorios,"$42,00",Hawaii,M,Carbón,Primavera,"2,6",Sí,Entrega al día siguiente,Sí,45,Tarjeta de débito,Trimestral
873,56,Masculino,Vaqueros,Ropa,"$33,00",North Dakota,M,Rosa,Primavera,"2,9",Sí,Estándar,Sí,25,Dinero,Trimestral
